[2025-07-08 16:34:57,029:INFO:main:hello world]
[2025-07-09 15:00:43,185:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:00:43,218:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:03:29,434:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:03:29,440:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:04:33,540:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:04:33,544:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:06:25,691:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:06:25,694:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:06:56,692:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:06:56,695:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:07:49,874:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:07:49,878:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:10:15,182:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:10:15,192:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:11:28,093:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:11:28,095:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:11:28,095:INFO:common:created directory at :artifacts]
[2025-07-09 15:11:28,095:INFO:1402693261:downloading data from https://drive.google.com/file/d/1Clwogi2zK2P4EjH5iTGeUktm0cHlXDGD/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-09 15:14:54,121:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:14:54,125:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:14:54,127:INFO:common:created directory at :artifacts]
[2025-07-09 15:14:54,130:INFO:1795833671:downloading data from https://drive.google.com/file/d/1Clwogi2zK2P4EjH5iTGeUktm0cHlXDGD/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-09 15:16:37,719:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:16:37,722:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:16:37,722:INFO:common:created directory at :artifacts]
[2025-07-09 15:16:54,085:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:16:54,091:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:16:54,091:INFO:common:created directory at :artifacts]
[2025-07-09 15:16:54,099:INFO:1968983231:downloading data from https://drive.google.com/file/d/1Clwogi2zK2P4EjH5iTGeUktm0cHlXDGD/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-09 15:19:44,441:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:19:44,446:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:19:44,449:INFO:common:created directory at :artifacts]
[2025-07-09 15:19:44,452:INFO:1968983231:downloading data from https://drive.google.com/file/d/1Clwogi2zK2P4EjH5iTGeUktm0cHlXDGD/view?usp=sharing into file artifacts/data_ingestion]
[2025-07-09 15:22:28,883:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:22:28,889:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:22:28,891:INFO:common:created directory at :artifacts]
[2025-07-09 15:22:28,896:INFO:3169234003:downloading data from https://drive.google.com/file/d/1Clwogi2zK2P4EjH5iTGeUktm0cHlXDGD/view?usp=sharing into file artifacts/data_ingestion]
[2025-07-09 15:24:45,408:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:24:45,414:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:24:45,417:INFO:common:created directory at :artifacts]
[2025-07-09 15:25:08,011:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:25:08,015:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:25:08,019:INFO:common:created directory at :artifacts]
[2025-07-09 15:25:46,691:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:25:46,700:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:25:46,706:INFO:common:created directory at :artifacts]
[2025-07-09 15:26:04,920:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:26:04,927:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:26:04,933:INFO:common:created directory at :artifacts]
[2025-07-09 15:29:39,692:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:29:39,697:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:29:39,704:INFO:common:created directory at :artifacts]
[2025-07-09 15:29:39,708:INFO:3169234003:downloading data from https://drive.google.com/file/d/1Clwogi2zK2P4EjH5iTGeUktm0cHlXDGD/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-09 15:34:37,606:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 15:34:37,612:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 15:34:37,617:INFO:common:created directory at :artifacts]
[2025-07-09 15:34:37,621:INFO:common:created directory at :artifacts/data_ingestion]
[2025-07-09 15:34:37,623:INFO:1983665874:Downloading data from https://drive.google.com/file/d/1Clwogi2zK2P4EjH5iTGeUktm0cHlXDGD/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-09 15:35:01,442:INFO:1983665874:Downloaded data from https://drive.google.com/file/d/1Clwogi2zK2P4EjH5iTGeUktm0cHlXDGD/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-09 18:21:38,530:INFO:main:stage Data Ingestion stage started]
[2025-07-09 18:21:38,558:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 18:21:38,575:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 18:21:38,577:INFO:common:created directory at :artifacts]
[2025-07-09 18:21:38,577:INFO:common:created directory at :artifacts/data_ingestion]
[2025-07-09 18:21:38,578:INFO:data_ingestion:Downloading data from https://drive.google.com/file/d/1Clwogi2zK2P4EjH5iTGeUktm0cHlXDGD/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-09 18:21:57,864:INFO:data_ingestion:Downloaded data from https://drive.google.com/file/d/1Clwogi2zK2P4EjH5iTGeUktm0cHlXDGD/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-09 18:21:59,621:INFO:main:stage Data Ingestion stage completed]

[2025-07-09 21:57:56,762:INFO:main:stage Data Ingestion stage started]
[2025-07-09 21:57:56,762:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-09 21:57:56,777:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-09 21:57:56,778:INFO:common:created directory at :artifacts]
[2025-07-09 21:57:56,778:ERROR:main:'ConfigurationManager' object has no attribute 'get_data_ingestion_config']
Traceback (most recent call last):
  File "C:\Users\Patel\OneDrive\Desktop\pl\chest classification\main.py", line 10, in <module>
    obj.main()
